,0,1
0,0.07042430705128354,sqft_final
1,0.048036620085773404,Compscore2
2,0.04696674430640105,units_final
3,0.04066549477318833,age_yrs_final
4,0.03038718014329564,bedrooms_final
5,0.03008986260812429,bathrooms_final
6,0.0294730026652255,Compscore5
7,0.029076534058562108,Compscore1
8,0.028152709225873807,Compscore17
9,0.02755426501807545,Compscore10
10,0.022418710592386083,Compscore7
11,0.02008851953752281,Compscore4
12,0.02006401193713421,Compscore3
13,0.019967051338435158,Compscore14
14,0.019451211866160632,Compscore9
15,0.019137012795440292,Compscore13
16,0.018939116761851293,Compscore18
17,0.0187303799494456,Compscore15
18,0.01748464163140247,Compscore11
19,0.01748044854652272,Compscore12
20,0.01721092379455972,Compscore19
21,0.01714962218788871,Compscore20
22,0.016734766918372567,Compscore16
23,0.01654082872694476,Compscore8
24,0.015884834114881962,Compscore21
25,0.015748689609189605,Compscore6
26,0.010536942380055547,Surface_Lot
27,0.009843411818625377,Concierge
28,0.009397789628664105,Elevator
29,0.007852005257379724,Maintenance_on_site
30,0.007273224156784552,Tub_Shower
31,0.006718950846353766,Stainless_Steel_Appliances
32,0.006235314158557812,Cable_Ready
33,0.006143651134663201,Fitness_Center
34,0.006138154461733043,Street
35,0.005791929094411845,Laundry_Facilities
36,0.005333597474322965,Ceiling_Fans
37,0.005071806348554364,Microwave
38,0.005024682852548874,Doorman
39,0.004938223025466878,Refrigerator
40,0.004847660867778449,Playground
41,0.004831368948050688,Pool
42,0.004610667340641117,Multiple_parking_spaces
43,0.004435919193756271,Granite_Countertops
44,0.004333566820370063,Lounge
45,0.004237413939995316,Dishwasher
46,0.004025900578320275,Dry_Cleaning_Service
47,0.003967329817324045,Kitchen_y
48,0.0038674451035133456,Air_Conditioning
49,0.0038340849218840446,Gated
50,0.0038279697946474924,Range
51,0.003747474163524938,Conference_Room
52,0.0037250657179038068,Views
53,0.003614929677226016,Walk_In_Closets
54,0.0036120252275480776,Hardwood_Floors
55,0.003588029357827182,Courtyard
56,0.0035838410271026343,Security_System
57,0.0034215750758333488,Tennis_Court
58,0.0033722848379512524,Washer_Dryer
59,0.003322636610246235,Coffee_Bar
60,0.003316140377258543,Linen_Closet
61,0.0032802277843030393,24_Hour_Availability
62,0.0032382900979620126,Package_Service
63,0.003232471213547528,Dining_Room
64,0.003223885061635491,Controlled_Access
65,0.0031525362108908027,Storage_Space
66,0.0031353520399446835,Business_Center
67,0.0031342966758010947,Carpet
68,0.0030915938962776807,Tile_Floors
69,0.0030812578918808877,Sundeck
70,0.0030307795766834175,Smoke_Free
71,0.0030227985633172814,Basketball_Court
72,0.0029928092972959447,Clubhouse
73,0.0029614074288401605,Grill
74,0.0029599380499577125,Property_Manager_on_Site
75,0.002942572083028809,Pet_Washing_Station
76,0.0028922495064225844,Picnic_Area
77,0.002795888749191218,Rooftop_Lounge
78,0.0027711122668490754,High_Speed_Internet_Access
79,0.0027526181175268017,Wheelchair_Accessible_Rooms
80,0.0027364173589852396,Fitness_Programs
81,0.0026846605087148673,Assigned_Parking
82,0.0026490930566679207,Heating
83,0.0026392833639225215,Covered
84,0.0026285204339331716,Eatin_Kitchen
85,0.0025689196065585927,Window_Coverings
86,0.0025238360207897165,Alarm
87,0.0025178839749875792,Island_Kitchen
88,0.002512641915162101,Oven
89,0.0025080038994475715,Gameroom
90,0.002492575198627337,Disposal
91,0.002481928287308429,Courtesy_Patrol
92,0.002453968220975112,Volleyball_Court
93,0.0024274429534811267,Vinyl_Flooring
94,0.002406337363326347,Free_Weights
95,0.0023903678241393527,On_Site_Retail
96,0.0023856307051895566,Storage_Units
97,0.002289832256519064,Spa
98,0.002215545104384886,Garage
99,0.0021408504597990913,Freezer
100,0.002070472341682224,WalkingBiking_Trails
101,0.002059812127227366,Sprinkler_System
102,0.0019927441365321166,Double_Pane_Windows
103,0.0018857995236516518,MediaCenter_MovieTheatre
104,0.0018850506157074146,Trash_Pickup_Door_to_Door
105,0.0018478677215893276,Pet_Play_Area
106,0.0017777818647473705,WiFi_at_Pool_and_Clubhouse
107,0.0017364883826408602,Recycling
108,0.0016346293419022028,Den
109,0.0016190224007701318,Multi_Use_Room
110,0.0015948812517744173,Disposal_Chutes
111,0.0015919626316537386,Fireplace
112,0.0015864452838477068,Cardio_Machines
113,0.0013736666350695884,Bike_Storage
114,0.0013719212011568786,Renters_Insurance_Program
115,0.0013415341536852853,Built_In_Bookshelves
116,0.0013180583597776766,Crown_Molding
117,0.0012719347275631772,Weight_Machines
118,0.0012504654402213451,Planned_Social_Activities
119,0.0011944761056413371,Intercom
120,0.0011701357601751918,Pantry
121,0.0011088527748658614,Double_Vanities
122,0.0009791507011832849,Pet_Care
123,0.0009634790320063195,Accent_Walls
124,0.0009456253917365433,Framed_Mirrors
125,0.0008733970854872055,Wi_Fi
126,0.0006786864817181184,Cabana
127,0.0006744290236495462,Online_Services
128,0.0005749041972934248,Vaulted_Ceiling
129,0.0,Ice_Maker
