,0,1
0,0.03560972455992442,sqft_final
1,0.02745117036239901,age_yrs_final
2,0.022137499162714864,bathrooms_final
3,0.02012256872575987,units_final
4,0.02004811501880828,SE_T104_001
5,0.018121171306297697,SE_T002_002
6,0.017241806814201694,bedrooms_final
7,0.014486328928345085,SE_T097_010
8,0.01421634772478777,SE_T083_001
9,0.011825534067419296,SE_T235_002
10,0.010519499697690221,SE_T100_010
11,0.01039768132293999,SE_T221_012
12,0.010371145971931194,SE_T221_011
13,0.010234924674906797,Concierge
14,0.009753686327294118,SE_T235_006
15,0.009737028869961058,SE_T056_017
16,0.009704562302142032,SE_T097_002
17,0.009358665591655702,SE_T067_003
18,0.009326976688124329,SE_T235_005
19,0.009181755521712291,SE_T067_002
20,0.009173136670788284,SE_T021_001
21,0.009147477087589104,SE_T102_009
22,0.00912631137356567,SE_T056_016
23,0.008861796340712335,SE_T100_008
24,0.00877058373010978,SE_T100_006
25,0.007923218645558438,SE_T182_002
26,0.007573268806742778,SE_T199_005
27,0.007453476560575709,SE_T096_002
28,0.0074360298146021,SE_T100_009
29,0.007371009493883216,SE_T235_003
30,0.007354123356514057,SE_T128_005
31,0.0068936528249790106,SE_T100_005
32,0.006663666610904451,SE_T191_009
33,0.006624929732249489,SE_T199_002
34,0.006616762448727672,SE_T128_006
35,0.006592875260984498,SE_T102_008
36,0.006471918727701911,Laundry_Facilities
37,0.006423890823237278,SE_T097_007
38,0.0064166588339781335,SE_T009_003
39,0.006346061241697209,SE_T096_004
40,0.006333824326122847,SE_T182_004
41,0.00631958061348102,SE_T191_002
42,0.00631640920270314,SE_T182_005
43,0.0062427038111622845,SE_T182_006
44,0.006179761446156716,SE_T100_002
45,0.00616222899788434,SE_T056_002
46,0.006123874498739887,SE_T221_010
47,0.006039308814312294,SE_T221_002
48,0.006027107749946151,SE_T128_002
49,0.00593986063959452,SE_T157_001
50,0.005874194935608536,SE_T096_003
51,0.0058694260223869,SE_T108_008
52,0.0058374102150610995,SE_T094_003
53,0.005557670557767923,Conference_Room
54,0.0055229063031863816,SE_T056_006
55,0.0054190044242411585,Rooftop_Lounge
56,0.005347929082136603,SE_T199_004
57,0.005299704649498988,SE_T056_008
58,0.005263661415063215,SE_T128_003
59,0.005260564489187121,SE_T056_007
60,0.005164542994627944,SE_T013_003
61,0.005080416604055154,SE_T113_002
62,0.005055940382861941,SE_T097_008
63,0.0050236948566006676,SE_T102_007
64,0.004989656273293081,SE_T191_007
65,0.004869553397781665,SE_T235_007
66,0.0048542093921819015,SE_T221_007
67,0.004813274257147464,SE_T227_001
68,0.004701541477054879,Fitness_Center
69,0.00464715413910059,SE_T028_002
70,0.004536040297957376,SE_T056_009
71,0.004502463136170761,SE_T097_009
72,0.004471767656197311,SE_T211_002
73,0.0044239675015402356,SE_T182_007
74,0.00437812208653603,SE_T013_005
75,0.004375264882295469,Garage
76,0.004344998561722412,SE_T009_002
77,0.004313614528825,SE_T056_014
78,0.004257816563685084,Street
79,0.004228375242060421,SE_T097_006
80,0.004177229159907948,SE_T191_003
81,0.00417596742931477,SE_T009_005
82,0.004136867742449534,SE_T235_004
83,0.004125600069567408,Elevator
84,0.004119812457809388,SE_T102_005
85,0.0040957821653184396,Pet_Washing_Station
86,0.004094877540685302,SE_T098_001
87,0.0040707113108285195,SE_T191_008
88,0.004068345054573112,SE_T221_009
89,0.004041298863410003,SE_T056_011
90,0.004023915981910525,SE_T033_007
91,0.003971514694067835,Tub_Shower
92,0.003957125055919672,SE_T100_003
93,0.003924395020445703,SE_T211_001
94,0.0038951621335881472,SE_T056_004
95,0.0038729896474597545,SE_T097_005
96,0.0038724282232148618,SE_T147_001
97,0.0038405491824969797,SE_T017_001
98,0.0038346946159710607,SE_T100_004
99,0.0038305257996533357,SE_T102_002
100,0.0037879720258926068,SE_T017_002
101,0.0037857020729189306,SE_T056_012
102,0.0037294802863238564,Microwave
103,0.0037003927772618086,SE_T102_004
104,0.0036659035942887513,SE_T221_006
105,0.003578427753154114,SE_T221_004
106,0.003574250003167365,SE_T004_002
107,0.0034999136782183256,Doorman
108,0.003480070610780557,SE_T128_008
109,0.0034298522386660667,Multi_Use_Room
110,0.0034150248341625515,SE_T221_005
111,0.003399462113996505,SE_T017_007
112,0.003316453125324499,MediaCenter_MovieTheatre
113,0.0033155915620017486,SE_T182_003
114,0.0032829612743674325,SE_T094_002
115,0.0032638309065899057,SE_T191_004
116,0.0032532922309077227,SE_T102_003
117,0.003249989277718844,SE_T013_006
118,0.003229857776926233,On_Site_Retail
119,0.0032284094290408296,SE_T191_006
120,0.0032103102986111845,Maintenance_on_site
121,0.00318165482708289,SE_T013_007
122,0.0031759551025671785,SE_T191_005
123,0.0031103928983699674,SE_T097_011
124,0.0031077650717149306,SE_T108_002
125,0.0029918028556870637,Refrigerator
126,0.0029579017128970094,SE_T221_003
127,0.002936356060395759,SE_T102_006
128,0.0029230365823989983,Cable_Ready
129,0.0029203277013144543,SE_T056_005
130,0.002820735803246702,Views
131,0.0028054934085446318,SE_T211_016
132,0.0028047233204826732,SE_T013_002
133,0.002765895718986118,SE_T009_004
134,0.0027515304934206623,SE_T013_008
135,0.002675748388172457,SE_T033_002
136,0.0026698701401621366,Granite_Countertops
137,0.002654898767896934,Air_Conditioning
138,0.0026382069653330532,Stainless_Steel_Appliances
139,0.0025981516219382634,SE_T056_015
140,0.002564586225461509,SE_T221_008
141,0.0025460805467814804,Bike_Storage
142,0.0025184635939750877,SE_T056_003
143,0.002462760721356071,SE_T056_010
144,0.002462299251628451,Security_System
