,0
SE_T001_001,0.07215007215007214
SE_T002_002,0.07215007215007214
SE_T004_002,0.07215007215007214
SE_T004_003,0.07215007215007214
SE_T009_002,0.07215007215007214
SE_T009_003,0.07215007215007214
SE_T009_004,0.07215007215007214
SE_T009_005,0.07215007215007214
SE_T013_002,0.07215007215007214
SE_T013_003,0.07215007215007214
SE_T013_004,0.07215007215007214
SE_T013_005,0.07215007215007214
SE_T013_006,0.07215007215007214
SE_T013_007,0.07215007215007214
SE_T013_008,0.07215007215007214
SE_T017_001,0.07215007215007214
SE_T017_002,0.07215007215007214
SE_T017_007,0.07215007215007214
SE_T021_001,0.07215007215007214
SE_T028_002,0.07215007215007214
SE_T028_003,0.07215007215007214
SE_T033_002,0.07215007215007214
SE_T033_007,0.07215007215007214
SE_T056_002,0.07215007215007214
SE_T056_003,0.07215007215007214
SE_T056_004,0.07215007215007214
SE_T056_005,0.07215007215007214
SE_T056_006,0.07215007215007214
SE_T056_007,0.07215007215007214
SE_T056_008,0.07215007215007214
SE_T056_009,0.07215007215007214
SE_T056_010,0.07215007215007214
SE_T056_011,0.07215007215007214
SE_T056_012,0.07215007215007214
SE_T056_013,0.07215007215007214
SE_T056_014,0.07215007215007214
SE_T056_015,0.07215007215007214
SE_T056_016,0.07215007215007214
SE_T056_017,0.07215007215007214
SE_T067_002,0.1443001443001443
SE_T067_003,0.07215007215007214
SE_T083_001,0.07215007215007214
SE_T094_002,0.07215007215007214
SE_T094_003,0.07215007215007214
SE_T096_002,0.07215007215007214
SE_T096_003,0.07215007215007214
SE_T096_004,0.07215007215007214
SE_T097_002,0.07215007215007214
SE_T097_005,0.07215007215007214
SE_T097_006,0.07215007215007214
SE_T097_007,0.07215007215007214
SE_T097_008,0.07215007215007214
SE_T097_009,0.07215007215007214
SE_T097_010,0.07215007215007214
SE_T097_011,0.07215007215007214
SE_T097_012,0.07215007215007214
SE_T098_001,0.07215007215007214
SE_T100_002,0.07215007215007214
SE_T100_003,0.07215007215007214
SE_T100_004,0.07215007215007214
SE_T100_005,0.07215007215007214
SE_T100_006,0.07215007215007214
SE_T100_007,0.07215007215007214
SE_T100_008,0.07215007215007214
SE_T100_009,0.07215007215007214
SE_T100_010,0.07215007215007214
SE_T102_002,0.07215007215007214
SE_T102_003,0.07215007215007214
SE_T102_004,0.07215007215007214
SE_T102_005,0.07215007215007214
SE_T102_006,0.07215007215007214
SE_T102_007,0.07215007215007214
SE_T102_008,0.07215007215007214
SE_T102_009,0.07215007215007214
SE_T104_001,0.07215007215007214
SE_T108_002,0.07215007215007214
SE_T108_008,0.07215007215007214
SE_T113_002,0.07215007215007214
SE_T113_011,0.07215007215007214
SE_T128_002,0.07215007215007214
SE_T128_003,0.07215007215007214
SE_T128_004,0.07215007215007214
SE_T128_005,0.07215007215007214
SE_T128_006,0.07215007215007214
SE_T128_007,0.07215007215007214
SE_T128_008,0.07215007215007214
SE_T147_001,0.07215007215007214
SE_T157_001,0.07215007215007214
SE_T182_002,0.07215007215007214
SE_T182_003,0.07215007215007214
SE_T182_004,0.07215007215007214
SE_T182_005,0.07215007215007214
SE_T182_006,0.07215007215007214
SE_T182_007,0.07215007215007214
SE_T191_002,0.07215007215007214
SE_T191_003,0.07215007215007214
SE_T191_004,0.07215007215007214
SE_T191_005,0.07215007215007214
SE_T191_006,0.07215007215007214
SE_T191_007,0.07215007215007214
SE_T191_008,0.07215007215007214
SE_T191_009,0.07215007215007214
SE_T191_010,0.07215007215007214
SE_T191_011,0.07215007215007214
SE_T199_002,0.07215007215007214
SE_T199_003,0.07215007215007214
SE_T199_004,0.07215007215007214
SE_T199_005,0.07215007215007214
SE_T199_006,0.07215007215007214
SE_T199_007,0.07215007215007214
SE_T211_001,0.07215007215007214
SE_T211_002,0.07215007215007214
SE_T211_016,0.07215007215007214
SE_T221_002,0.07215007215007214
SE_T221_003,0.07215007215007214
SE_T221_004,0.07215007215007214
SE_T221_005,0.07215007215007214
SE_T221_006,0.07215007215007214
SE_T221_007,0.07215007215007214
SE_T221_008,0.07215007215007214
SE_T221_009,0.07215007215007214
SE_T221_010,0.07215007215007214
SE_T221_011,0.07215007215007214
SE_T221_012,0.07215007215007214
SE_T227_001,0.07215007215007214
SE_T235_002,0.07215007215007214
SE_T235_003,0.07215007215007214
SE_T235_004,0.07215007215007214
SE_T235_005,0.07215007215007214
SE_T235_006,0.07215007215007214
SE_T235_007,0.07215007215007214
address_final,0.0
zipcode_final,0.0
bedrooms_final,15.007215007215008
bathrooms_final,0.2886002886002886
sqft_final,1.875901875901876
units_final,0.0
rent_final,0.0
city_final,0.0
state_final,0.0
age_yrs_final,2.6695526695526697
Surface_Lot,10.533910533910534
Covered,10.533910533910534
Garage,10.533910533910534
Street,10.533910533910534
Multiple_parking_spaces,10.533910533910534
Assigned_Parking,10.533910533910534
Fitness_Center,21.356421356421357
Pool,21.356421356421357
Cardio_Machines,21.356421356421357
Free_Weights,21.356421356421357
Weight_Machines,21.356421356421357
Playground,21.356421356421357
Bike_Storage,21.356421356421357
Spa,21.356421356421357
Tennis_Court,21.356421356421357
Gameroom,21.356421356421357
WalkingBiking_Trails,21.356421356421357
Fitness_Programs,21.356421356421357
Basketball_Court,21.356421356421357
MediaCenter_MovieTheatre,21.356421356421357
Volleyball_Court,21.356421356421357
Dishwasher,14.43001443001443
Range,14.43001443001443
Refrigerator,14.43001443001443
Kitchen_y,14.43001443001443
Microwave,14.43001443001443
Disposal,14.43001443001443
Oven,14.43001443001443
Stainless_Steel_Appliances,14.43001443001443
